"","Fullstate","MoreDefined"
"1","Alabama","Partisan"
"2","Alaska","Retention"
"3","Arizona","Retention"
"4","Arkansas","Nonpartisan"
"5","California","Retention"
"6","Colorado","Retention"
"7","Connecticut","Appointment"
"8","Delaware","Appointment"
"9","Florida","Retention"
"10","Georgia","Nonpartisan"
"11","Hawaii","Retention"
"12","Idaho","Retention"
"13","Illinois","Partisan"
"14","Indiana","Retention"
"15","Iowa","Retention"
"16","Kansas","Retention"
"17","Kentucky","Nonpartisan"
"18","Louisiana","Partisan"
"19","Maine","Appointment"
"20","Maryland","Retention"
"21","Massachusetts","Appointment"
"22","Michigan","Nonpartisan"
"23","Minnesota","Nonpartisan"
"24","Mississippi","Nonpartisan"
"25","Missouri","Retention"
"26","Montana","Nonpartisan"
"27","Nebraska","Retention"
"28","Nevada","Nonpartisan"
"29","New Hampshire","Appointment"
"30","New Jersey","Appointment"
"31","New Mexico","Partisan"
"32","New York","Appointment"
"33","North Carolina","Partisan"
"34","North Dakota","Nonpartisan"
"35","Ohio","Nonpartisan"
"36","Oklahoma","Retention"
"37","Oregon","Nonpartisan"
"38","Pennsylvania","Partisan"
"39","Rhode Island","Appointment"
"40","South Carolina","Appointment"
"41","South Dakota","Retention"
"42","Tennessee","Retention"
"43","Texas","Partisan"
"44","Utah","Retention"
"45","Vermont","Appointment"
"46","Virginia","Appointment"
"47","Washington","Nonpartisan"
"48","West Virginia","Nonpartisan"
"49","Wisconsin","Nonpartisan"
"50","Wyoming","Retention"
